fecha,Visitantes totales
2015-08-29,41248
2015-08-30,32368
2015-08-31,49931
2015-09-01,58244
2015-09-02,57061
2015-09-03,55295
2015-09-04,58109
2015-09-05,40614
2015-09-06,42207
2015-09-07,50303
2015-09-08,65498
2015-09-09,55991
2015-09-10,62070
2015-09-11,48948
2015-09-12,38278
2015-09-13,30796
2015-09-14,55122
2015-09-15,56388
2015-09-16,59962
2015-09-17,51350
2015-09-18,54735
2015-09-19,43033
2015-09-20,30367
2015-09-21,54624
2015-09-22,38031
2015-09-23,66287
2015-09-24,59610
2015-09-25,51147
2015-09-26,33583
2015-09-27,33560
2015-09-28,54624
2015-09-29,56080
2015-09-30,48041
2015-10-01,57659
2015-10-02,54430
2015-10-03,38186
2015-10-04,26143
2015-10-05,53007
2015-10-06,50253
2015-10-07,55591
2015-10-08,57210
2015-10-09,59835
2015-10-10,36386
2015-10-11,26944
2015-10-12,27898
2015-10-13,61211
2015-10-14,52863
2015-10-15,52738
2015-10-16,46583
2015-10-17,29275
2015-10-18,23264
2015-10-19,54723
2015-10-20,55943
2015-10-21,53988
2015-10-22,45418
2015-10-23,41680
2015-10-24,29162
2015-10-25,26254
2015-10-26,46047
2015-10-27,41105
2015-10-28,40325
2015-10-29,40105
2015-10-30,35931
2015-10-31,20945
2015-11-01,12436
2015-11-02,10475
2015-11-03,30724
2015-11-04,30558
2015-11-05,30753
2015-11-06,29730
2015-11-07,16238
2015-11-08,11703
2015-11-09,29759
2015-11-10,29886
2015-11-11,30768
2015-11-12,29015
2015-11-13,28812
2015-11-14,15441
2015-11-15,10344
2015-11-16,27124
2015-11-17,27735
2015-11-18,30184
2015-11-19,37153
2015-11-20,27871
2015-11-21,13148
2015-11-22,8588
2015-11-23,25416
2015-11-24,26206
2015-11-25,27050
2015-11-26,28165
2015-11-27,27887
2015-11-28,14664
2015-11-29,9817
2015-11-30,26833
2015-12-01,26730
2015-12-02,27372
2015-12-03,27462
2015-12-04,27328
2015-12-05,15050
2015-12-06,10200
2015-12-07,13110
2015-12-08,9392
2015-12-09,27440
2015-12-10,27288
2015-12-11,26626
2015-12-12,14153
2015-12-13,9424
2015-12-14,26294
2015-12-15,26493
2015-12-16,26816
2015-12-17,26523
2015-12-18,26807
2015-12-19,14911
2015-12-20,9490
2015-12-21,26400
2015-12-22,26527
2015-12-23,24279
2015-12-24,14977
2015-12-25,3793
2015-12-26,10711
2015-12-27,10556
2015-12-28,23416
2015-12-29,22375
2015-12-30,23218
2015-12-31,15155
2016-01-01,3580
2016-01-02,13307
2016-01-03,9126
2016-01-04,22119
2016-01-05,21342
2016-01-06,6780
2016-01-07,24718
2016-01-08,25428
2016-01-09,13384
2016-01-10,8316
2016-01-11,25688
2016-01-12,25604
2016-01-13,26185
2016-01-14,25816
2016-01-15,23911
2016-01-16,14787
2016-01-17,9093
2016-01-18,25053
2016-01-19,26862
2016-01-20,15932
2016-01-21,25814
2016-01-22,25532
2016-01-23,13947
2016-01-24,8597
2016-01-25,25125
2016-01-26,25150
2016-01-27,25205
2016-01-28,26093
2016-01-29,25533
2016-01-30,13844
2016-01-31,9391
2016-02-01,26352
2016-02-02,26456
2016-02-03,27102
2016-02-04,27304
2016-02-05,27763
2016-02-06,15039
2016-02-07,8417
2016-02-08,28037
2016-02-09,28151
2016-02-10,29111
2016-02-11,28734
2016-02-12,28600
2016-02-13,15579
2016-02-14,9773
2016-02-15,25435
2016-02-16,28892
2016-02-17,29637
2016-02-18,29410
2016-02-19,28814
2016-02-20,15515
2016-02-21,9939
2016-02-22,28690
2016-02-23,29086
2016-02-24,29064
2016-02-25,29211
2016-02-26,28390
2016-02-27,13229
2016-02-28,9390
2016-02-29,26638
2016-03-01,6447
2016-03-02,30582
2016-03-03,30985
2016-03-04,30910
2016-03-05,17333
2016-03-06,11053
2016-03-07,30735
2016-03-08,31599
2016-03-09,31463
2016-03-10,28445
2016-03-11,31605
2016-03-12,18321
2016-03-13,12674
2016-03-14,32165
2016-03-15,31955
2016-03-16,33313
2016-03-17,33371
2016-03-18,33249
2016-03-19,19308
2016-03-20,13776
2016-03-21,36468
2016-03-22,36811
2016-03-23,38241
2016-03-24,20236
2016-03-25,15988
2016-03-26,21732
2016-03-27,14783
2016-03-28,18282
2016-03-29,33981
2016-03-30,34154
2016-03-31,36421
2016-04-01,29855
2016-04-02,23573
2016-04-03,16334
2016-04-04,40021
2016-04-05,40719
2016-04-06,41221
2016-04-07,40517
2016-04-08,37903
2016-04-09,24682
2016-04-10,16948
2016-04-11,39861
2016-04-12,40295
2016-04-13,41752
2016-04-14,40237
2016-04-15,40336
2016-04-16,25988
2016-04-17,18505
2016-04-18,42449
2016-04-19,40819
2016-04-20,43421
2016-04-21,41963
2016-04-22,42584
2016-04-23,25224
2016-04-24,19507
2016-04-25,45871
2016-04-26,40132
2016-04-27,42790
2016-04-28,46262
2016-04-29,41675
2016-04-30,28661
2016-05-01,21740
2016-05-02,41241
2016-05-03,44571
2016-05-04,46363
2016-05-05,50162
2016-05-06,59076
2016-05-07,29842
2016-05-08,28307
2016-05-09,60006
2016-05-10,52061
2016-05-11,57242
2016-05-12,47901
2016-05-13,52287
2016-05-14,36540
2016-05-15,28197
2016-05-16,51588
2016-05-17,54861
2016-05-18,55493
2016-05-19,55235
2016-05-20,54511
2016-05-21,35640
2016-05-22,27541
2016-05-23,57902
2016-05-24,53549
2016-05-25,54661
2016-05-26,54660
2016-05-27,50126
2016-05-28,40110
2016-05-29,25980
2016-05-30,50292
2016-05-31,53303
2016-06-01,50816
2016-06-02,50441
2016-06-03,52505
2016-06-04,38926
2016-06-05,28332
2016-06-06,52373
2016-06-07,54611
2016-06-08,52130
2016-06-09,52527
2016-06-10,52483
2016-06-11,42389
2016-06-12,32313
2016-06-13,49331
2016-06-14,62642
2016-06-15,50035
2016-06-16,58723
2016-06-17,47357
2016-06-18,46813
2016-06-19,26241
2016-06-20,52925
2016-06-21,54510
2016-06-22,53774
2016-06-23,55759
2016-06-24,42088
2016-06-25,38883
2016-06-26,33791
2016-06-27,51776
2016-06-28,55392
2016-06-29,65624
2016-06-30,49530
2016-07-01,50079
2016-07-02,37305
2016-07-03,31031
2016-07-04,58495
2016-07-05,58662
2016-07-06,55353
2016-07-07,53840
2016-07-08,64899
2016-07-09,39187
2016-07-10,29906
2016-07-11,55478
2016-07-12,56707
2016-07-13,68303
2016-07-14,76721
2016-07-15,50875
2016-07-16,43778
2016-07-17,30396
2016-07-18,56524
2016-07-19,58297
2016-07-20,58492
2016-07-21,56870
2016-07-22,58204
2016-07-23,48720
2016-07-24,35760
2016-07-25,57920
2016-07-26,59739
2016-07-27,58479
2016-07-28,58130
2016-07-29,57413
2016-07-30,46513
2016-07-31,38567
2016-08-01,58582
2016-08-02,58147
2016-08-03,56550
2016-08-04,55388
2016-08-05,64978
2016-08-06,51451
2016-08-07,40620
2016-08-08,56562
2016-08-09,57934
2016-08-10,74984
2016-08-11,55853
2016-08-12,54254
2016-08-13,47976
2016-08-14,38010
2016-08-15,40569
2016-08-16,78455
2016-08-17,52022
2016-08-18,53146
2016-08-19,53650
2016-08-20,44769
2016-08-21,36200
2016-08-22,59140
2016-08-23,57917
2016-08-24,56294
2016-08-25,57053
2016-08-26,55543
2016-08-27,43333
2016-08-28,33958
2016-08-29,56543
2016-08-30,56461
2016-08-31,54353
2016-09-01,55070
2016-09-02,55187
2016-09-03,42724
2016-09-04,33344
2016-09-05,57525
2016-09-06,58884
2016-09-07,57671
2016-09-08,57660
2016-09-09,55326
2016-09-10,46854
2016-09-11,29602
2016-09-12,54645
2016-09-13,56578
2016-09-14,61997
2016-09-15,56643
2016-09-16,54106
2016-09-17,44279
2016-09-18,42439
2016-09-19,52131
2016-09-20,70142
2016-09-21,53708
2016-09-22,36871
2016-09-23,56000
2016-09-24,38787
2016-09-25,27390
2016-09-26,60885
2016-09-27,60377
2016-09-28,60469
2016-09-29,55627
2016-09-30,58369
2016-10-01,42328
2016-10-02,29665
2016-10-03,52699
2016-10-04,56555
2016-10-05,55908
2016-10-06,64499
2016-10-07,53083
2016-10-08,36794
2016-10-09,36246
2016-10-10,64595
2016-10-11,58199
2016-10-12,36099
2016-10-13,61159
2016-10-14,53968
2016-10-15,33404
2016-10-16,25898
2016-10-17,48648
2016-10-18,61519
2016-10-19,54215
2016-10-20,57812
2016-10-21,55011
2016-10-22,36899
2016-10-23,21918
2016-10-24,43583
